path,bpm,key,target_bpm,speed,ini_cue,begin_cue,end_cue,begin_cue_adj,end_cue_adj,duration_orig,duration_sectioned,part_file_orig,part_file
/Users/xaviergonzalez/Documents/repos/crowdstream/dj/10090489_After Earth_(Original Mix).wav,123.03,Gm,122.5,0.9956921076160286,296.78,374.82,390.42,78.37764244897961,94.04513632653067,1:33.64,1:34.04,parts_temp_26/orig/10090489_After Earth_(Original Mix)_sectioned.wav,parts_temp_26/10090489_After Earth_(Original Mix)_sectioned.wav
/Users/xaviergonzalez/Documents/repos/crowdstream/dj/12792193_Keep Control_(ARTBAT Remix).wav,123.0,Gm,122.5,0.9959349593495935,62.43,155.61,187.32,93.56032653061224,125.3997551020408,2:04.89,2:05.39,parts_temp_26/orig/12792193_Keep Control_(ARTBAT Remix)_sectioned.wav,parts_temp_26/12792193_Keep Control_(ARTBAT Remix)_sectioned.wav
/Users/xaviergonzalez/Documents/repos/crowdstream/dj/15125355_Young Hearts Run Free_(Original Mix).wav,123.0,Gm,122.5,0.9959349593495935,31.21,109.26,124.87,78.36857142857144,94.04228571428571,1:33.66,1:34.03,parts_temp_26/orig/15125355_Young Hearts Run Free_(Original Mix)_sectioned.wav,parts_temp_26/15125355_Young Hearts Run Free_(Original Mix)_sectioned.wav
/Users/xaviergonzalez/Documents/repos/crowdstream/dj/15235881_Watching Over You_(Extended Mix).wav,124.0,Gm,122.5,0.9879032258064516,247.8,356.18,389.06,109.70710204081632,142.98971428571429,2:21.26,2:22.98,parts_temp_26/orig/15235881_Watching Over You_(Extended Mix)_sectioned.wav,parts_temp_26/15235881_Watching Over You_(Extended Mix)_sectioned.wav
/Users/xaviergonzalez/Documents/repos/crowdstream/dj/15855321_See You Again_(Original Mix).wav,120.0,Gm,122.5,1.0208333333333333,16.06,104.06,120.06,86.20408163265307,101.87755102040818,1:44.00,1:41.89,parts_temp_26/orig/15855321_See You Again_(Original Mix)_sectioned.wav,parts_temp_26/15855321_See You Again_(Original Mix)_sectioned.wav
/Users/xaviergonzalez/Documents/repos/crowdstream/dj/16667060_Don_t Hold Back_(Yotto Remix).wav,122.0,Gm,122.5,1.0040983606557377,61.97,141.64,165.23,79.3448163265306,102.8385306122449,1:43.26,1:42.85,parts_temp_26/orig/16667060_Don_t Hold Back_(Yotto Remix)_sectioned.wav,parts_temp_26/16667060_Don_t Hold Back_(Yotto Remix)_sectioned.wav
/Users/xaviergonzalez/Documents/repos/crowdstream/dj/16848975_Fade Into Black (Extended Club Mix)_(Original Mix).wav,123.0,Gm,122.5,0.9959349593495935,46.45,139.14,154.62,93.06832653061223,108.61151020408163,1:48.17,1:48.60,parts_temp_26/orig/16848975_Fade Into Black (Extended Club Mix)_(Original Mix)_sectioned.wav,parts_temp_26/16848975_Fade Into Black (Extended Club Mix)_(Original Mix)_sectioned.wav
/Users/xaviergonzalez/Documents/repos/crowdstream/dj/16917312_Voodoo_(Extended Mix).wav,124.0,Gm,122.5,0.9879032258064516,62.4,139.83,170.8,78.3781224489796,109.72734693877551,1:48.40,1:49.72,parts_temp_26/orig/16917312_Voodoo_(Extended Mix)_sectioned.wav,parts_temp_26/16917312_Voodoo_(Extended Mix)_sectioned.wav
/Users/xaviergonzalez/Documents/repos/crowdstream/dj/16980631_A Barrel of Tar_(Rodrigo Lapena & Mayro Remix).wav,121.0,Cm,122.5,1.012396694214876,34.69,112.05,126.93,76.41273469387754,91.1105306122449,1:32.24,1:31.11,parts_temp_26/orig/16980631_A Barrel of Tar_(Rodrigo Lapena & Mayro Remix)_sectioned.wav,parts_temp_26/16980631_A Barrel of Tar_(Rodrigo Lapena & Mayro Remix)_sectioned.wav
/Users/xaviergonzalez/Documents/repos/crowdstream/dj/17037386_The Sign_(Extended Mix).wav,122.0,Gm,122.5,1.0040983606557377,23.69,110.25,125.98,86.20669387755103,101.87248979591838,1:42.29,1:41.88,parts_temp_26/orig/17037386_The Sign_(Extended Mix)_sectioned.wav,parts_temp_26/17037386_The Sign_(Extended Mix)_sectioned.wav
/Users/xaviergonzalez/Documents/repos/crowdstream/dj/17278835_Just Over_(Extended Mix).wav,123.0,Cm,122.5,0.9959349593495935,93.67,187.34,216.61,94.05232653061225,123.44179591836736,2:02.94,2:03.43,parts_temp_26/orig/17278835_Just Over_(Extended Mix)_sectioned.wav,parts_temp_26/17278835_Just Over_(Extended Mix)_sectioned.wav
/Users/xaviergonzalez/Documents/repos/crowdstream/dj/17370693_Eternity_(Extended Mix).wav,125.0,Cm,122.5,0.98,30.76,122.93,163.24,94.05102040816327,135.18367346938777,2:12.48,2:15.17,parts_temp_26/orig/17370693_Eternity_(Extended Mix)_sectioned.wav,parts_temp_26/17370693_Eternity_(Extended Mix)_sectioned.wav
/Users/xaviergonzalez/Documents/repos/crowdstream/dj/17970436_Syren_(Extended Mix).wav,125.0,Cm,122.5,0.98,16.85,120.06,135.9,105.31632653061226,121.47959183673471,1:59.05,2:01.47,parts_temp_26/orig/17970436_Syren_(Extended Mix)_sectioned.wav,parts_temp_26/17970436_Syren_(Extended Mix)_sectioned.wav
/Users/xaviergonzalez/Documents/repos/crowdstream/dj/18136592_Aria_(Extended Mix).wav,122.0,Cm,122.5,1.0040983606557377,15.73,121.96,137.69,105.7964081632653,121.46220408163265,2:01.96,2:01.46,parts_temp_26/orig/18136592_Aria_(Extended Mix)_sectioned.wav,parts_temp_26/18136592_Aria_(Extended Mix)_sectioned.wav
/Users/xaviergonzalez/Documents/repos/crowdstream/dj/3261262_What Is Love_(Club Mix).wav,123.87,Gm,122.5,0.9889400177605554,31.33,132.09,147.11,101.88686693877551,117.07484571428573,1:55.78,1:57.06,parts_temp_26/orig/3261262_What Is Love_(Club Mix)_sectioned.wav,parts_temp_26/3261262_What Is Love_(Club Mix)_sectioned.wav
/Users/xaviergonzalez/Documents/repos/crowdstream/dj/7521298_Innerbloom_(Original Mix).wav,122.0,Gm,122.5,1.0040983606557377,94.49,202.68,220.37,107.74840816326532,125.36620408163267,2:05.88,2:05.37,parts_temp_26/orig/7521298_Innerbloom_(Original Mix)_sectioned.wav,parts_temp_26/7521298_Innerbloom_(Original Mix)_sectioned.wav
/Users/xaviergonzalez/Documents/repos/crowdstream/dj/Crystal Waters - 100 Percent Pure Love (Original Mix).wav,120.0,Gm,122.5,1.0208333333333333,31.12,112.12,128.13,79.34693877551021,95.03020408163265,1:37.01,1:35.05,parts_temp_26/orig/Crystal Waters - 100 Percent Pure Love (Original Mix)_sectioned.wav,parts_temp_26/Crystal Waters - 100 Percent Pure Love (Original Mix)_sectioned.wav
"/Users/xaviergonzalez/Documents/repos/crowdstream/dj/DJ Spen, Crystal Waters - Party People (DJ Spen & Micfreak Vocal Mix).wav",124.0,Cm,122.5,0.9879032258064516,47.41,123.87,139.35,77.39624489795919,93.06579591836734,1:31.94,1:33.05,"parts_temp_26/orig/DJ Spen, Crystal Waters - Party People (DJ Spen & Micfreak Vocal Mix)_sectioned.wav","parts_temp_26/DJ Spen, Crystal Waters - Party People (DJ Spen & Micfreak Vocal Mix)_sectioned.wav"
/Users/xaviergonzalez/Documents/repos/crowdstream/dj/Janice Robinson - Children (Joe T Vannelli Tribe Remix).wav,124.98,Cm,122.5,0.9801568250920147,32.03,124.18,139.54,94.01556734693878,109.68652897959183,1:47.51,1:49.68,parts_temp_26/orig/Janice Robinson - Children (Joe T Vannelli Tribe Remix)_sectioned.wav,parts_temp_26/Janice Robinson - Children (Joe T Vannelli Tribe Remix)_sectioned.wav
"/Users/xaviergonzalez/Documents/repos/crowdstream/dj/Rivo, Adriatique - Like A Dream (Extended Version).wav",123.0,Cm,122.5,0.9959349593495935,31.24,109.29,124.9,78.36857142857144,94.04228571428573,1:33.66,1:34.03,"parts_temp_26/orig/Rivo, Adriatique - Like A Dream (Extended Version)_sectioned.wav","parts_temp_26/Rivo, Adriatique - Like A Dream (Extended Version)_sectioned.wav"
"/Users/xaviergonzalez/Documents/repos/crowdstream/dj/Swedish House Mafia, Adriatique, The Weeknd - Moth To A Flame (Adriatique Remix).wav",120.0,Cm,122.5,1.0208333333333333,62.99,158.0,175.99,93.07102040816326,110.69387755102042,1:53.00,1:50.71,"parts_temp_26/orig/Swedish House Mafia, Adriatique, The Weeknd - Moth To A Flame (Adriatique Remix)_sectioned.wav","parts_temp_26/Swedish House Mafia, Adriatique, The Weeknd - Moth To A Flame (Adriatique Remix)_sectioned.wav"
/Users/xaviergonzalez/Documents/repos/crowdstream/dj/Technotronic - Pump Up The Jam (Original Mix).wav,124.59,Cm,122.5,0.9832249779276026,15.48,92.59,108.0,78.42559102040816,94.09850448979591,1:32.52,1:34.09,parts_temp_26/orig/Technotronic - Pump Up The Jam (Original Mix)_sectioned.wav,parts_temp_26/Technotronic - Pump Up The Jam (Original Mix)_sectioned.wav
"/Users/xaviergonzalez/Documents/repos/crowdstream/dj/Vintage Culture, Innellea, Paige Cavell - Promised Land (Innellea Remix _ Extended).wav",125.0,Gm,122.5,0.98,30.93,121.18,137.49,92.09183673469389,108.73469387755102,1:46.56,1:48.72,"parts_temp_26/orig/Vintage Culture, Innellea, Paige Cavell - Promised Land (Innellea Remix _ Extended)_sectioned.wav","parts_temp_26/Vintage Culture, Innellea, Paige Cavell - Promised Land (Innellea Remix _ Extended)_sectioned.wav"
"/Users/xaviergonzalez/Documents/repos/crowdstream/dj/WhoMadeWho, Adriatique - Miracle (Original Mix).wav",123.0,Cm,122.5,0.9959349593495935,266.11,361.22,376.34,95.49820408163266,110.6799183673469,1:50.23,1:50.67,"parts_temp_26/orig/WhoMadeWho, Adriatique - Miracle (Original Mix)_sectioned.wav","parts_temp_26/WhoMadeWho, Adriatique - Miracle (Original Mix)_sectioned.wav"
"/Users/xaviergonzalez/Documents/repos/crowdstream/dj/WhoMadeWho, Adriatique, RÜFÜS DU SOL - Miracle - RÜFÜS DU SOL Remix (Original Mix).wav",123.0,Cm,122.5,0.9959349593495935,280.29,374.69,390.3,94.78530612244896,110.45902040816325,1:50.01,1:50.45,"parts_temp_26/orig/WhoMadeWho, Adriatique, RÜFÜS DU SOL - Miracle - RÜFÜS DU SOL Remix (Original Mix)_sectioned.wav","parts_temp_26/WhoMadeWho, Adriatique, RÜFÜS DU SOL - Miracle - RÜFÜS DU SOL Remix (Original Mix)_sectioned.wav"
"/Users/xaviergonzalez/Documents/repos/crowdstream/dj/WhoMadeWho, Blue Hawaii, Innellea - Kiss Me Hard (Innellea Remix).wav",124.0,Gm,122.5,0.9879032258064516,41.36,133.79,147.34,93.56179591836734,107.27771428571428,1:45.98,1:47.27,"parts_temp_26/orig/WhoMadeWho, Blue Hawaii, Innellea - Kiss Me Hard (Innellea Remix)_sectioned.wav","parts_temp_26/WhoMadeWho, Blue Hawaii, Innellea - Kiss Me Hard (Innellea Remix)_sectioned.wav"
/Users/xaviergonzalez/Documents/repos/crowdstream/dj/hideyou-tinlicker.wav,124.0,Cm,122.5,0.9879032258064516,76.51,184.9,201.35,109.71722448979592,126.36865306122448,2:04.84,2:06.36,parts_temp_26/orig/hideyou-tinlicker_sectioned.wav,parts_temp_26/hideyou-tinlicker_sectioned.wav
/Users/xaviergonzalez/Documents/repos/crowdstream/dj/purpleline-bbohmer.wav,122.0,Gm,122.5,1.0040983606557377,63.06,157.48,173.22,94.03461224489796,109.71036734693878,1:50.16,1:49.72,parts_temp_26/orig/purpleline-bbohmer_sectioned.wav,parts_temp_26/purpleline-bbohmer_sectioned.wav
